;0;1;2;3
0;AALR3;CENTRO DE IMAGEM DIAGNOSTICOS SA;CENTRO DE IMAGEM DIAGNOSTICOS SA;42.771.949/0001-35
1;ABEV3;AMBEV SA;AMBEV SA;07.526.557/0001-00
2;AFLT3;AFLUENTE TRANSMISSAO DE ENERGIA ELETRICA SA;AFLUENTE TRANSMISSAO DE ENERGIA ELETRICA SA;10.338.320/0001-00
3;AGRA4;AGRALE SA;AGRALE SA;88.610.324/0001-92
4;ALPA3;ALPARGATAS SA;ALPARGATAS SA;61.079.117/0001-05
5;ALSO3;ALIANSCE SONAE SHOPPING CENTERS SA;ALIANSCE SONAE SHOPPING CENTERS SA;05.878.397/0001-32
6;ALUP4;ALUPAR INVESTIMENTO SA;ALUPAR INVESTIMENTO SA;08.364.948/0001-38
7;ANIM3;ANIMA HOLDING SA;ANIMA HOLDING SA;09.288.252/0001-32
8;APTI3;SIDERURGICA J L ALIPERTI SA;SIDERURGICA J L ALIPERTI SA;61.156.931/0001-78
9;ARZZ3;AREZZO INDUSTRIA E COMERCIO SA;AREZZO INDUSTRIA E COMERCIO SA;16.590.234/0001-76
10;ATOM3;ATOM EMPREENDIMENTOS E PARTICIPACOES SA;ATOM EMPREENDIMENTOS E PARTICIPACOES SA;00.359.742/0001-08
11;AZUL4;AZUL SA;AZUL SA;09.305.994/0001-29
12;BAHI3;BAHEMA EDUCACAO SA;BAHEMA EDUCACAO SA;45.987.245/0001-92
13;BALM4;BAUMER SA;BAUMER SA;61.374.161/0001-30
14;BBML3;BBM LOGISTICA SA;BBM LOGISTICA SA;01.107.327/0001-20
15;BBSE3;BB SEGURIDADE PARTICIPACOES SA;BB SEGURIDADE PARTICIPACOES SA;17.344.597/0001-94
16;BIDI3;BANCO INTER SA;BANCO INTER SA;00.416.968/0001-01
17;BIOM3;BIOMM SA;BIOMM SA;04.752.991/0001-10
18;BLAU3;BLAU FARMACEUTICA SA;BLAU FARMACEUTICA SA;58.430.828/0001-60
19;BMKS3;BICICLETAS MONARK SA;BICICLETAS MONARK SA;56.992.423/0001-90
20;BOBR3;BOMBRIL SA;BOMBRIL SA;50.564.053/0001-03
21;BRAP3;BRADESPAR SA;BRADESPAR SA;03.847.461/0001-92
22;BRFS3;BRF SA;BRF SA;01.838.723/0001-27
23;BRKM3;BRASKEM SA;BRASKEM SA;42.150.391/0001-70
24;BRKM6;BRASKEM SA;BRASKEM SA;42.150.391/0001-70
25;BRQB3;BRQ SOLUCOES EM INFORMATICA SA;BRQ SOLUCOES EM INFORMATICA SA;36.542.025/0001-64
26;BSEV3;BIOSEV SA;BIOSEV SA;15.527.906/0001-36
27;CAMB3;CAMBUCI SA;CAMBUCI SA;61.088.894/0001-08
28;CARD3;CSU CARDSYSTEM SA;CSU CARDSYSTEM SA;01.896.779/0001-38
29;CBEE3;AMPLA ENERGIA E SERVICOS SA;AMPLA ENERGIA E SERVICOS SA;33.050.071/0001-58
30;CCRO3;CCR SA;CCR SA;02.846.056/0001-97
31;CGRA3;GRAZZIOTIN SA;GRAZZIOTIN SA;92.012.467/0001-70
32;CIEL3;CIELO SA;CIELO SA;01.027.058/0001-91
33;CMSA3;CIMS SA;CIMS SA;00.272.185/0001-93
34;CNSY3;CINESYSTEM SA;CINESYSTEM SA;07.437.016/0001-05
35;CPFE3;CPFL ENERGIA SA;CPFL ENERGIA SA;02.429.144/0001-93
36;CPRE3;CPFL ENERGIAS RENOVAVEIS SA;CPFL ENERGIAS RENOVAVEIS SA;08.439.659/0001-50
37;CRFB3;ATACADAO SA;ATACADAO SA;75.315.333/0001-09
38;CRPG3;TRONOX PIGMENTOS DO BRASIL SA;TRONOX PIGMENTOS DO BRASIL SA;15.115.504/0001-24
39;CRPG6;TRONOX PIGMENTOS DO BRASIL SA;TRONOX PIGMENTOS DO BRASIL SA;15.115.504/0001-24
40;CSAN3;COSAN SA;COSAN SA;50.746.577/0001-15
41;CTKA3;KARSTEN SA;KARSTEN SA;82.640.558/0001-04
42;CTNM3;CIA TECIDOS NORTE DE MINAS COTEMINAS;CIA TECIDOS NORTE DE MINAS COTEMINAS;22.677.520/0001-76
43;CTSA3;CIA TECIDOS SANTANENSE;CIA TECIDOS SANTANENSE;21.255.567/0001-89
44;CTSA8;CIA TECIDOS SANTANENSE;CIA TECIDOS SANTANENSE;21.255.567/0001-89
45;DASA3;DIAGNOSTICOS DA AMERICA SA;DIAGNOSTICOS DA AMERICA SA;61.486.650/0001-83
46;DIRR3;DIRECIONAL ENGENHARIA SA;DIRECIONAL ENGENHARIA SA;16.614.075/0001-00
47;DOHL3;DOHLER SA;DOHLER SA;84.683.408/0001-03
48;DXXI3;DUXXI IMOBILIARIA SA;DUXXI IMOBILIARIA SA;10.382.341/0001-22
49;EALT4;ELECTRO ACO ALTONA SA;ELECTRO ACO ALTONA SA;82.643.537/0001-34
50;ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGISTICA SA;ECORODOVIAS INFRAESTRUTURA E LOGISTICA SA;04.149.454/0001-80
51;EGIE3;ENGIE BRASIL ENERGIA SA;ENGIE BRASIL ENERGIA SA;02.474.103/0001-19
52;EKTR4;ELEKTRO REDES SA;ELEKTRO REDES SA;02.328.280/0001-97
53;EMBR3;EMBRAER SA;EMBRAER SA;07.689.002/0001-89
54;ENAT3;ENAUTA PARTICIPACOES SA;ENAUTA PARTICIPACOES SA;11.669.021/0001-10
55;ENEV3;ENEVA SA;ENEVA SA;04.423.567/0001-21
56;ENGI4;ENERGISA SA;ENERGISA SA;00.864.214/0001-06
57;EPCO3;ENCALSO PARTICIPACOES EM CONCESSOES SA;ENCALSO PARTICIPACOES EM CONCESSOES SA;21.262.638/0001-70
58;EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;04.895.728/0001-80
59;EQPA6;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA SA;04.895.728/0001-80
60;EQTL3;EQUATORIAL ENERGIA SA;EQUATORIAL ENERGIA SA;03.220.438/0001-73
61;ESTR3;MANUFATURA DE BRINQUEDOS ESTRELA SA;MANUFATURA DE BRINQUEDOS ESTRELA SA;61.082.004/0001-50
62;EVEN3;EVEN CONSTRUTORA E INCORPORADORA SA;EVEN CONSTRUTORA E INCORPORADORA SA;43.470.988/0001-65
63;FIGE3;INVESTIMENTOS BEMGE SA;INVESTIMENTOS BEMGE SA;01.548.981/0001-79
64;FRIO3;METALFRIO SOLUTIONS SA;METALFRIO SOLUTIONS SA;04.821.041/0001-08
65;FTRO3;FRUTOS TROPICAIS SA;FRUTOS TROPICAIS SA;13.504.691/0001-02
66;GEPA4;RIO PARANAPANEMA ENERGIA SA;RIO PARANAPANEMA ENERGIA SA;02.998.301/0001-81
67;GGBR3;GERDAU SA;GERDAU SA;33.611.500/0001-19
68;GNDI3;NOTRE DAME INTERMEDICA PARTICIPACOES SA;NOTRE DAME INTERMEDICA PARTICIPACOES SA;19.853.511/0001-84
69;GOAU4;METALURGICA GERDAU SA;METALURGICA GERDAU SA;92.690.783/0001-09
70;GPCP3;GPC PARTICIPACOES SA;GPC PARTICIPACOES SA;02.193.750/0001-52
71;GRND3;GRENDENE SA;GRENDENE SA;89.850.341/0001-60
72;GUAR3;GUARARAPES CONFECCOES SA;GUARARAPES CONFECCOES SA;08.402.943/0001-52
73;HAGA4;HAGA SA INDUSTRIA E COMERCIO;HAGA SA INDUSTRIA E COMERCIO;30.540.991/0001-66
74;HBOR3;HELBOR EMPREENDIMENTOS SA;HELBOR EMPREENDIMENTOS SA;49.263.189/0001-02
75;HETA3;HERCULES SA FABRICA DE TALHERES;HERCULES SA FABRICA DE TALHERES;92.749.225/0001-63
76;HOOT3;HOTEIS OTHON SA;HOTEIS OTHON SA;33.200.049/0001-47
77;HYPE3;HYPERA SA;HYPERA SA;02.932.074/0001-91
78;INNT3;INTER CONSTRUTORA E INCORPORADORA SA;INTER CONSTRUTORA E INCORPORADORA SA;09.611.768/0001-76
79;ITSA3;ITAUSA INVESTIMENTOS ITAU SA;ITAUSA INVESTIMENTOS ITAU SA;61.532.644/0001-15
80;JBSS3;JBS SA;JBS SA;02.916.265/0001-60
81;JFEN3;JOAO FORTES ENGENHARIA SA;JOAO FORTES ENGENHARIA SA;33.035.536/0001-00
82;JPSA3;JEREISSATI PARTICIPACOES SA;JEREISSATI PARTICIPACOES SA;60.543.816/0001-93
83;KEPL3;KEPLER WEBER SA;KEPLER WEBER SA;91.983.056/0001-69
84;KLBN4;KLABIN SA;KLABIN SA;89.637.490/0001-45
85;LIGT3;LIGHT SA;LIGHT SA;03.378.521/0001-75
86;LLIS3;RESTOQUE COMERCIO E CONFECCOES DE ROUPAS SA;RESTOQUE COMERCIO E CONFECCOES DE ROUPAS SA;49.669.856/0001-43
87;LREN3;LOJAS RENNER SA;LOJAS RENNER SA;92.754.738/0001-62
88;LUXM3;TREVISA INVESTIMENTOS SA;TREVISA INVESTIMENTOS SA;92.660.570/0001-26
89;LWSA3;LOCAWEB SERVICOS DE INTERNET SA;LOCAWEB SERVICOS DE INTERNET SA;02.351.877/0001-52
90;MAPT4;CEMEPE INVESTIMENTOS SA;CEMEPE INVESTIMENTOS SA;93.828.986/0001-73
91;MDNE3;MOURA DUBEUX ENGENHARIA SA;MOURA DUBEUX ENGENHARIA SA;12.049.631/0001-84
92;MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO SA;INTERNATIONAL MEAL COMPANY ALIMENTACAO SA;17.314.329/0001-20
93;MGLU3;MAGAZINE LUIZA SA;MAGAZINE LUIZA SA;47.960.950/0001-21
94;MMAQ3;MINASMAQUINAS SA;MINASMAQUINAS SA;17.161.241/0001-15
95;MNBI3;MLOG SA;MLOG SA;13.444.994/0001-87
96;MNPR3;MINUPAR PARTICIPACOES SA;MINUPAR PARTICIPACOES SA;90.076.886/0001-40
97;MOVI3;MOVIDA PARTICIPACOES SA;MOVIDA PARTICIPACOES SA;21.314.559/0001-66
98;MRVE3;MRV ENGENHARIA E PARTICIPACOES SA;MRV ENGENHARIA E PARTICIPACOES SA;08.343.492/0001-20
99;MSRO3;MAESTRO LOCADORA DE VEICULOS SA;MAESTRO LOCADORA DE VEICULOS SA;08.795.211/0001-70
100;MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPACOES SA;MITRE REALTY EMPREENDIMENTOS E PARTICIPACOES SA;07.882.930/0001-65
101;MTSA4;METISA METALURGICA TIMBOENSE SA;METISA METALURGICA TIMBOENSE SA;86.375.425/0001-09
102;NEMO3;SUZANO HOLDING SA;SUZANO HOLDING SA;60.651.809/0001-05
103;NEMO6;SUZANO HOLDING SA;SUZANO HOLDING SA;60.651.809/0001-05
104;NRTQ3;NORTEC QUIMICA SA;NORTEC QUIMICA SA;29.950.060/0001-57
105;NUTR3;NUTRIPLANT INDUSTRIA E COMERCIO SA;NUTRIPLANT INDUSTRIA E COMERCIO SA;51.128.999/0001-90
106;ODER3;CONSERVAS ODERICH SA;CONSERVAS ODERICH SA;97.191.902/0001-94
107;ODPV3;ODONTOPREV SA;ODONTOPREV SA;58.119.199/0001-51
108;PARD3;INSTITUTO HERMES PARDINI SA;INSTITUTO HERMES PARDINI SA;19.378.769/0001-76
109;PATI4;PANATLANTICA SA;PANATLANTICA SA;92.693.019/0001-89
110;PETR3;PETROLEO BRASILEIRO SA PETROBRAS;PETROLEO BRASILEIRO SA PETROBRAS;33.000.167/0001-01
111;PLAS3;PLASCAR PARTICIPACOES INDUSTRIAIS SA;PLASCAR PARTICIPACOES INDUSTRIAIS SA;51.928.174/0001-50
112;PMAM3;PARANAPANEMA SA;PARANAPANEMA SA;60.398.369/0004-79
113;PNVL4;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;92.665.611/0001-77
114;POMO4;MARCOPOLO SA;MARCOPOLO SA;88.611.835/0001-29
115;PPAR3;POLPAR SA;POLPAR SA;59.789.545/0001-71
116;PRNR3;PRINER SERVICOS INDUSTRIAIS SA;PRINER SERVICOS INDUSTRIAIS SA;18.593.815/0001-97
117;PSEG4;SAUIPE SA;SAUIPE SA;00.866.577/0001-80
118;PTBL3;PBG SA;PBG SA;83.475.913/0001-91
119;PTCA3;PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA;PRATICA KLIMAQUIP INDUSTRIA E COMERCIO SA;08.574.411/0001-00
120;RADL3;RAIA DROGASIL SA;RAIA DROGASIL SA;61.585.865/0001-51
121;RANI3;IRANI PAPEL E EMBALAGEM SA;IRANI PAPEL E EMBALAGEM SA;92.791.243/0001-03
122;RAPT3;RANDON SA IMPLEMENTOS E PARTICIPACOES;RANDON SA IMPLEMENTOS E PARTICIPACOES;89.086.144/0001-16
123;RCSL3;RECRUSUL SA;RECRUSUL SA;91.333.666/0001-17
124;RDNI3;RNI NEGOCIOS IMOBILIARIOS SA;RNI NEGOCIOS IMOBILIARIOS SA;67.010.660/0001-24
125;RLOG3;COSAN LOGISTICA SA;COSAN LOGISTICA SA;17.346.997/0001-39
126;RNEW4;RENOVA ENERGIA SA;RENOVA ENERGIA SA;08.534.605/0001-74
127;ROMI3;INDUSTRIAS ROMI SA;INDUSTRIAS ROMI SA;56.720.428/0001-63
128;RSUL3;METALURGICA RIOSULENSE SA;METALURGICA RIOSULENSE SA;85.778.074/0001-06
129;SEER3;SER EDUCACIONAL SA;SER EDUCACIONAL SA;04.986.320/0001-13
130;SHUL3;SCHULZ SA;SCHULZ SA;84.693.183/0001-68
131;SLCE3;SLC AGRICOLA SA;SLC AGRICOLA SA;89.096.457/0001-55
132;SMFT3;SMARTFIT ESCOLA DE GINASTICA E DANCA SA;SMARTFIT ESCOLA DE GINASTICA E DANCA SA;07.594.978/0001-78
133;SMTO3;SAO MARTINHO SA;SAO MARTINHO SA;51.466.860/0001-56
134;SPRI3;SPRINGER SA;SPRINGER SA;92.929.520/0001-00
135;SPRI6;SPRINGER SA;SPRINGER SA;92.929.520/0001-00
136;STBP3;SANTOS BRASIL PARTICIPACOES SA;SANTOS BRASIL PARTICIPACOES SA;02.762.121/0001-04
137;SULA3;SUL AMERICA SA;SUL AMERICA SA;29.978.814/0001-87
138;SUZB3;SUZANO SA;SUZANO SA;16.404.287/0001-55
139;TASA3;TAURUS ARMAS SA;TAURUS ARMAS SA;92.781.335/0001-02
140;TCSA3;TECNISA SA;TECNISA SA;08.065.557/0001-12
141;TELB3;TELEC BRASILEIRAS SA TELEBRAS;TELEC BRASILEIRAS SA TELEBRAS;00.336.701/0001-04
142;TEND3;CONSTRUTORA TENDA SA;CONSTRUTORA TENDA SA;71.476.527/0001-35
143;TGMA3;TEGMA GESTAO LOGISTICA SA;TEGMA GESTAO LOGISTICA SA;02.351.144/0001-18
144;TIET4;AES TIETE ENERGIA SA;AES TIETE ENERGIA SA;04.128.563/0001-10
145;TXRX3;TEXTIL RENAUXVIEW SA;TEXTIL RENAUXVIEW SA;82.982.075/0001-80
146;VIVT3;TELEFONICA BRASIL SA;TELEFONICA BRASIL SA;02.558.157/0001-62
147;YDUQ3;ESTACIO PARTICIPACOES SA;ESTACIO PARTICIPACOES SA;08.807.432/0001-10
148;ABCB4;BANCO ABC BRASIL SA;BANCO ABC BRASIL SA;28.195.667/0001-06
149;ADHM3;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA SA;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA SA;10.345.009/0001-98
150;AGBK4;BANCO AGIBANK SA;BANCO AGIBANK SA;10.664.513/0001-50
151;AGRO3;BRASILAGROCIA BRAS DE PROP AGRICOLAS;BRASILAGRO CIA BRAS DE PROP AGRICOLAS;07.628.528/0001-59
152;AHEB3;SAO PAULO TURISMO SA;SAO PAULO TURISMO S A;62.002.886/0001-60
153;AHEB5;SAO PAULO TURISMO SA;SAO PAULO TURISMO S A;62.002.886/0001-60
154;AHEB6;SAO PAULO TURISMO SA;SAO PAULO TURISMO S A;62.002.886/0001-60
155;ALPA4;ALPARGATAS SA;ALPARGATAS SA;61.079.117/0001-05
156;ALUP3;ALUPAR INVESTIMENTO SA;ALUPAR INVESTIMENTO SA;08.364.948/0001-38
157;AMAR3;MARISA LOJAS SA;MARISA LOJAS SA;61.189.288/0001-89
158;APER3;ALPER CONSULTORIA E CORRETORA DE SEGUROS SA;ALPER CONSULTORIA E CORRETORA DE SEGUROS SA;11.721.921/0001-60
159;APTI4;SIDERURGICA J L ALIPERTI SA;SIDERURGICA J L ALIPERTI SA;61.156.931/0001-78
160;ATMP3;ATMA PARTICIPACOES SA;ATMA PARTICIPACOES SA;04.032.433/0001-80
161;AZEV3;AZEVEDO E TRAVASSOS SA;AZEVEDO & TRAVASSOS SA;61.351.532/0001-68
162;AZEV4;AZEVEDO E TRAVASSOS SA;AZEVEDO & TRAVASSOS SA;61.351.532/0001-68
163;B3SA3;B3 SABRASIL, BOLSA, BALCAO;B3 SA BRASIL, BOLSA, BALCAO;09.346.601/0001-25
164;BALM3;BAUMER SA;BAUMER SA;61.374.161/0001-30
165;BAUH3;EXCELSIOR ALIMENTOS SA;EXCELSIOR ALIMENTOS SA;95.426.862/0001-97
166;BAUH4;EXCELSIOR ALIMENTOS SA;EXCELSIOR ALIMENTOS SA;95.426.862/0001-97
167;BAZA3;BANCO AMAZONIA SA;BANCO DA AMAZONIA SA;04.902.979/0001-44
168;BBDC3;BANCO BRADESCO SA;BANCO BRADESCO SA;60.746.948/0001-12
169;BBDC4;BANCO BRADESCO SA;BANCO BRADESCO SA;60.746.948/0001-12
170;BBRK3;BRASIL BROKERS PARTICIPACOES SA;BRASIL BROKERS PARTICIPACOES SA;08.613.550/0001-98
171;BCPS3;CLARO SA;CLARO TELECOM PARTICIPACOES SA;07.043.628/0001-13
172;BCPS4;CLARO SA;CLARO TELECOM PARTICIPACOES SA;07.043.628/0001-13
173;BDLL3;BARDELLA SA INDUSTRIAS MECANICAS;BARDELLA SA INDS MECANICAS;60.851.615/0001-53
174;BDLL4;BARDELLA SA INDUSTRIAS MECANICAS;BARDELLA SA INDS MECANICAS;60.851.615/0001-53
175;BEEF3;MINERVA SA;INDS MINERVA SA;10.775.468/0001-01
176;BEES3;BANESTES SABANCO EST ESPIRITO SANTO;BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO;28.127.603/0001-78
